الكليات المضافة,الوقت,اليوم,الفرع,NRC,الشعبة,نوعه,رقم المقرر,اسم المقرر
كلية االداب,1825-1800,ح,طالب,73135,نA,اجباري,1900-101,العقيدة والمذاهب
كلية االداب,1859-1830,ح,طالب,73136,نB,اجباري,1900-101,العقيدة والمذاهب
كلية الحاسب,1925-1900,ح,طالب,73137,نC,اجباري,1900-101,العقيدة والمذاهب
كلية الهندسة,1959-1930,ح,طالب,73139,نD,اجباري,1900-101,العقيدة والمذاهب
كلية الهندسة,2025-2000,ح,طالب,73141,نE,اجباري,1900-101,العقيدة والمذاهب
كلية العلوم الزراعية  كلية العلوم,2059-2030,ح,طالب,73143,نF,اجباري,1900-101,العقيدة والمذاهب
كلية العلوم التطبيقية,2125-2100,ح,طالب,73144,نG,اجباري,1900-101,العقيدة والمذاهب
كلية العلوم  كلية الحقوق,2159-2130,ح,طالب,73145,نH,اجباري,1900-101,العقيدة والمذاهب
كلية إدارة االعمال  كلية الطب البيطري,2225-2200,ح,طالب,73146,نI,اجباري,1900-101,العقيدة والمذاهب
كلية الشريعة كلية الصيلة االكلينيكية  كلية الشريعة,2259-2230,ح,طالب,73148,نj,اجباري,1900-101,العقيدة والمذاهب
كلية الشريعة,2325-2300,ح,طالب,73150,نk,اجباري,1900-101,العقيدة والمذاهب
كلية التربية  كلبة طب االسنان,2359-2330,ح,طالب,73152,نL,اجباري,1900-101,العقيدة والمذاهب
كلية االداب,1725-1700,ن,طالبات,73164,نM,اجباري,1900-101,العقيدة والمذاهب
كلية االداب,1759-1730,ن,طالبات,73165,نN,اجباري,1900-101,العقيدة والمذاهب
كلية االداب,1825-1800,ن,طالبات,73166,نO,اجباري,1900-101,العقيدة والمذاهب
كلية االداب,1859-1830,ن,طالبات,73167,نP,اجباري,1900-101,العقيدة والمذاهب
كلية العلوم,1925-1900,ن,طالبات,73168,نQ,اجباري,1900-101,العقيدة والمذاهب
كلية العلوم,1959-1930,ن,طالبات,73169,نS,اجباري,1900-101,العقيدة والمذاهب
كلية الشريعة,2025-2000,ن,طالبات,73170,نT,اجباري,1900-101,العقيدة والمذاهب
كلية الشريعة,2059-2030,ن,طالبات,73171,نU,اجباري,1900-101,العقيدة والمذاهب
كلية الحقوق  كلية الطب البيطري,2125-2100,ن,طالبات,73172,نR,اجباري,1900-101,العقيدة والمذاهب
كلية الصيدلة االكلينيكية  كلية إدارة االعمال,2159-2130,ن,طالبات,73173,نv,اجباري,1900-101,العقيدة والمذاهب
كلية الحاسب  كلية التربية,2225-2200,ن,طالبات,73174,نw,اجباري,1900-101,العقيدة والمذاهب
كلية العلوم الطبية التطبيقية,2259-2230,ن,طالبات,73175,نx,اجباري,1900-101,العقيدة والمذاهب
كلية الحاسب  كلية العلوم الزراعية,2325-2300,ن,طالبات,73176,نy,اجباري,1900-101,العقيدة والمذاهب
كلية الهندسة,2359-2330,ن,طالبات,73177,نz,اجباري,1900-101,العقيدة والمذاهب
كلية الحاسب  كلية االداب,1825-1800,ن,طالب,73178,نA,اجباري,1900-102,الثقافة اإلسالمية
كلية االداب,1859-1830,ن,طالب,73179,نB,اجباري,1900-102,الثقافة اإلسالمية
كلية الحاسب,1925-1900,ن,طالب,73180,نC,اجباري,1900-102,الثقافة اإلسالمية
كلية الهندسة,1959-1930,ن,طالب,73181,نD,اجباري,1900-102,الثقافة اإلسالمية
كلية الهندسة,2025-2000,ن,طالب,73182,نE,اجباري,1900-102,الثقافة اإلسالمية
كلية العلوم الزراعية  كلية العلوم,2059-2030,ن,طالب,73183,نF,اجباري,1900-102,الثقافة اإلسالمية
كلية العلوم التطبيقية,2125-2100,ن,طالب,73184,نG,اجباري,1900-102,الثقافة اإلسالمية
كلية العلوم  كلية الحقوق,2159-2130,ن,طالب,73185,نH,اجباري,1900-102,الثقافة اإلسالمية
كلية إدارة االعمال  كلية الطب البيطري,2225-2200,ن,طالب,73186,نI,اجباري,1900-102,الثقافة اإلسالمية
كلية الشريعة كلية الصيلة االكلينيكية  كلية الشريعة,2259-2230,ن,طالب,73187,نj,اجباري,1900-102,الثقافة اإلسالمية
كلية الشريعة,2325-2300,ن,طالب,73188,نk,اجباري,1900-102,الثقافة اإلسالمية
كلية التربية  كلبة طب االسنان,2359-2330,ن,طالب,73189,نL,اجباري,1900-102,الثقافة اإلسالمية
كلية االداب,1725-1700,ح,طالبات,73191,نM,اجباري,1900-102,الثقافة اإلسالمية
كلية االداب,1759-1730,ح,طالبات,73192,نN,اجباري,1900-102,الثقافة اإلسالمية
كلية االداب,1825-1800,ح,طالبات,73193,نO,اجباري,1900-102,الثقافة اإلسالمية
كلية االداب,1859-1830,ح,طالبات,73194,نP,اجباري,1900-102,الثقافة اإلسالمية
كلية العلوم,1925-1900,ح,طالبات,73195,نQ,اجباري,1900-102,الثقافة اإلسالمية
كلية العلوم,1959-1930,ح,طالبات,73196,نS,اجباري,1900-102,الثقافة اإلسالمية
كلية الشريعة,2025-2000,ح,طالبات,73197,نT,اجباري,1900-102,الثقافة اإلسالمية
كلية الشريعة,2059-2030,ح,طالبات,73198,نU,اجباري,1900-102,الثقافة اإلسالمية
كلية الحقوق  كلية الطب البيطري,2125-2100,ح,طالبات,73208,نR,اجباري,1900-102,الثقافة اإلسالمية
كلية الصيدلة االكلينيكية  كلية إدارة االعمال,2159-2130,ح,طالبات,73210,نv,اجباري,1900-102,الثقافة اإلسالمية
كلية الحاسب  كلية التربية,2225-2200,ح,طالبات,73211,نw,اجباري,1900-102,الثقافة اإلسالمية
كلية العلوم الطبية التطبيقية,2259-2230,ح,طالبات,73212,نx,اجباري,1900-102,الثقافة اإلسالمية
كلية الحاسب  كلية العلوم الزراعية,2325-2300,ح,طالبات,73213,نy,اجباري,1900-102,الثقافة اإلسالمية
كلية الهندسة,2359-2330,ح,طالبات,73214,نZ,اجباري,1900-102,الثقافة اإلسالمية
كلية الحاسب  كلية العلوم,1825-1800,ث,طالب,73215,نA,اختياري,1900-107,لنظام االجتماعي والسلوك االسري
كلية الحاسب كلية الهندسة كلية العلوم الزراعية  كلية االداب,1859-1830,ث,طالب,73216,نB,اختياري,1900-107,لنظام االجتماعي والسلوك االسري
كلية الشريعة كلية التربية  كلية إدارة االعمال,1925-1900,ث,طالب,73217,نC,اختياري,1900-107,لنظام االجتماعي والسلوك االسري
كلية طب االسنان كلية العلوم الطبية التطبيقية كلية الطب البيطري كلية الصيدلة االكلينيكية كلية الحقوق  كلية االداب,1959-1930,ث,طالبات,73218,نD,اختياري,1900-107,لنظام االجتماعي والسلوك االسري
كلية الطب البيطري,2025-2000,ث,طالبات,73219,نE,اختياري,1900-107,لنظام االجتماعي والسلوك االسري
كلية الشريعة كلية العلوم  كلية التربية,2059-2030,ث,طالبات,73222,نF,اختياري,1900-107,لنظام االجتماعي والسلوك االسري
كلية الحاسب كلية الهندسة كلية العلوم الطبية التطبيقية  كلية إدارة االعمال,2125-2100,ث,طالبات,73223,نG,اختياري,1900-107,لنظام االجتماعي والسلوك االسري
كلية العلوم الزراعية كلية الصيدلة االكلينيكية كلية الحقوق  كلية العلوم,2159-2130,ث,طالب,73225,نA,اختياري,1900-112,الدواء النوع واالستخدام
كلية الحاسب كلية الهندسة كلية العلوم الزراعية  كلية االداب,2225-2200,ث,طالب,73227,نB,اختياري,1900-112,الدواء النوع واالستخدام
كلية الشريعة كلية التربية  كلية إدارة االعمال,2259-2230,ث,طالب,73229,نC,اختياري,1900-112,الدواء النوع واالستخدام
كلية طب االسنان كلية العلوم الطبية التطبيقية كلية الطب البيطري كلية الصيدلة االكلينيكية كلية الحقوق  كلية االداب,2325-2300,ث,طالبات,73231,نD,اختياري,1900-112,الدواء النوع واالستخدام
كلية الطب البيطري,2359-2330,ث,طالبات,73233,نE,اختياري,1900-112,الدواء النوع واالستخدام
كلية الشريعة كلية العلوم  كلية التربية,1825-1800,ر,طالبات,73235,نF,اختياري,1900-112,الدواء النوع واالستخدام
كلية الحاسب كلية الهندسة كلية العلوم الطبية التطبيقية  كلية إدارة االعمال,1859-1830,ر,طالبات,73238,نG,اختياري,1900-112,الدواء النوع واالستخدام
كلية العلوم الزراعية كلية الصيدلة االكلينيكية كلية الحقوق  كلية العلوم,1925-1900,ر,طالب,73241,نA,اختياري,1900-110,مهارات البحث
كلية الحاسب كلية الهندسة كلية العلوم الزراعية  كلية االداب,1959-1925,ر,طالب,73243,نB,اختياري,1900-110,مهارات البحث
كلية الشريعة كلية التربية  كلية إدارة االعمال,2025-2000,ر,طالب,73245,نC,اختياري,1900-110,مهارات البحث
كلية طب االسنان كلية العلوم الطبية التطبيقية كلية الطب البيطري كلية الصيدلة االكلينيكية كلية الحقوق  كلية االداب,2059-2030,ر,طالبات,73246,نD,اختياري,1900-110,مهارات البحث
كلية الطب البيطري,2125-2100,ر,طالبات,73247,نE,اختياري,1900-110,مهارات البحث
كلية الشريعة كلية العلوم  كلية التربية,2159-2130,ر,طالبات,73249,نF,اختياري,1900-110,مهارات البحث
كلية الحاسب كلية الهندسة كلية العلوم الطبية التطبيقية  كلية إدارة االعمال,2225-2200,ر,طالبات,73251,نG,اختياري,1900-110,مهارات البحث
كلية العلوم الزراعية كلية الصيدلة االكلينيكية كلية الحقوق  كلية العلوم,1825-1800,خ,طالب,73253,نA,اختياري,1900-108,اساسيات ريادة االعمال
كلية الحاسب كلية الهندسة كلية العلوم الزراعية  كلية االداب,1859-1830,خ,طالب,73256,نB,اختياري,1900-108,اساسيات ريادة االعمال
كلية الشريعة كلية التربية  كلية إدارة االعمال,1925-1900,خ,طالب,73258,نC,اختياري,1900-108,اساسيات ريادة االعمال
كلية طب االسنان كلية العلوم الطبية التطبيقية كلية الطب البيطري كلية الصيدلة االكلينيكية كلية الحقوق  كلية االداب,1959-1930,خ,طالبات,73261,نD,اختياري,1900-108,اساسيات ريادة االعمال
كلية الطب البيطري,2025-2000,خ,طالبات,73264,نE,اختياري,1900-108,اساسيات ريادة االعمال
كلية الشريعة كلية العلوم  كلية التربية,2059-2030,خ,طالبات,73266,نF,اختياري,1900-108,اساسيات ريادة االعمال
كلية الحاسب كلية الهندسة كلية العلوم الطبية التطبيقية  كلية إدارة االعمال,2125-2100,خ,طالبات,73269,نG,اختياري,1900-108,اساسيات ريادة االعمال
كلية العلوم الزراعية كلية الصيدلة االكلينيكية كلية الحقوق  كلية العلوم,1959-1930,خ,طالب,73274,نA,اختياري,1900-116,اساسيات االستدامه البيئية
كلية الحاسب كلية الهندسة كلية العلوم الزراعية  كلية االداب,2025-2000,خ,طالب,73278,نB,اختياري,1900-116,اساسيات االستدامه البيئية
كلية الشريعة كلية التربية  كلية إدارة االعمال,2059-2030,خ,طالب,73282,نC,اختياري,1900-116,اساسيات االستدامه البيئية
كلية طب االسنان كلية العلوم الطبية التطبيقية كلية الطب البيطري كلية الصيدلة االكلينيكية كلية الحقوق  كلية االداب,1825-1800,خ,طالبات,73286,نD,اختياري,1900-116,اساسيات االستدامه البيئية
كلية الطب البيطري,1859-1830,خ,طالبات,73293,نE,اختياري,1900-116,اساسيات االستدامه البيئية
كلية الشريعة كلية العلوم  كلية التربية,1925-1900,خ,طالبات,73296,نF,اختياري,1900-116,اساسيات االستدامه البيئية
كلية الحاسب كلية الهندسة كلية العلوم الطبية التطبيقية  كلية إدارة االعمال,2159-2130,خ,طالبات,73299,نG,اختياري,1900-116,اساسيات االستدامه البيئية
كلية العلوم الزراعية كلية الصيدلة االكلينيكية كلية الحقوق  الكليات المضافة,الوقت,اليوم,الفرع,NRC,الشعبة,نوعه,رقم المقرر,اسم المقرر
جميع طالب الجامعة دفعة 7102 فمادو,2359-2330,ح,طالب,73304,نA,اجباري,ر1ة01-1047,عقيدة اإلسالمية والمذاهب المعاص
جميع طالب الجامعة دفعة 7102 فمادو,2359-2330,ن,طالب,73307,نA,إجباري,7401-301,قضايا ثقافية معاصرة
جميع طالب الجامعة دفعة 7102 فمادو,1925-1900,ر,طالب,73309,نA,اختياري,7401-317,األخالق اإلسالمية وآداب المهنة
جميع طالب الجامعة دفعة 7102 فمادو,1925-1900,ث,طالب,73312,نA,اختياري,7401-401,النظام االجتماعي في اإلسالم
ميع طالبات الجامعة دفعة 7102 فمادو,00.32-52.3ج2,ن,طالبات,73318,نB,إجباري,ر1ة01-1047,عقيدة اإلسالمية والمذاهب المعاص
ميع طالبات الجامعة دفعة 7102 فمادو,00.32-52.3ج2,ح,طالبات,73320,نB,إجباري,7401-301,قضايا ثقافية معاصرة
ميع طالبات الجامعة دفعة 7102 فمادو,00.12-52.1ج2,ر,طالبات,73322,نB,اختياري,7401-317,األخالق اإلسالمية وآداب المهنة
ميع طالبات الجامعة دفعة 7102 فمادو,00.12-52.1ج2,ث,طالبات,73324,نB,اختياري,7401-401,النظام االجتماعي في اإلسالم
